/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21856	He	also studied	music	0	1	1	3	3	4	0.5126857930479297	He also studied music , most likely with either the Ukrainian virtuoso lutanist Timofey Belogradsky , then resident in Königsberg , or his student Johann Friedrich Reichardt .	PRP RB VBD NN , RBS JJ IN RB DT JJ NN NN NNP NNP , RB NN IN NNP , CC PRP$ NN NNP NNP NNP .	B-NP B-ADVP B-VP B-NP O B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-ADVP B-NP B-PP B-NP O O B-NP I-NP I-NP I-NP I-NP O	he	study	music
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21857	1771 Lenz	abandoned	his studies	1	3	3	4	4	6	0.8366966690668144	In 1771 Lenz abandoned his studies in Königsberg .	IN CD NNP VBD PRP$ NNS IN NNP .	B-PP B-NP I-NP B-VP B-NP I-NP B-PP B-NP O	# lenz	abandon	his studies
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21858	the will of his father	broke off contact with	him	2	7	12	16	16	17	0.39612322392487265	Much against the will of his father , who on that account broke off contact with him , he took a position little better than that of a servant with Friedrich Georg and Ernst Nikolaus von Kleist , barons from Courland and officer cadets about to begin their military service , whom he accompanied to Strasbourg .	RB IN DT NN IN PRP$ NN , WP IN DT NN VBD RP NN IN PRP , PRP VBD DT NN RB JJR IN DT IN DT NN IN NNP NNP CC NNP NNP NNP NNP , NNS IN NNP CC NN NNS IN TO VB PRP$ JJ NN , WP PRP VBD TO NNP .	B-ADVP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-PP B-NP I-NP B-VP B-PRT B-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-ADVP B-ADJP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP I-NP I-NP O B-NP B-PP B-NP I-NP I-NP I-NP B-NP B-VP I-VP B-NP I-NP I-NP O B-NP B-NP B-VP B-PP B-NP O	the will of his father	break off contact with	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21858	he	took	a position	18	19	19	20	20	22	0.16856094269896646	Much against the will of his father , who on that account broke off contact with him , he took a position little better than that of a servant with Friedrich Georg and Ernst Nikolaus von Kleist , barons from Courland and officer cadets about to begin their military service , whom he accompanied to Strasbourg .	RB IN DT NN IN PRP$ NN , WP IN DT NN VBD RP NN IN PRP , PRP VBD DT NN RB JJR IN DT IN DT NN IN NNP NNP CC NNP NNP NNP NNP , NNS IN NNP CC NN NNS IN TO VB PRP$ JJ NN , WP PRP VBD TO NNP .	B-ADVP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-PP B-NP I-NP B-VP B-PRT B-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-ADVP B-ADJP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP I-NP I-NP O B-NP B-PP B-NP I-NP I-NP I-NP B-NP B-VP I-VP B-NP I-NP I-NP O B-NP B-NP B-VP B-PP B-NP O	he	take	a position
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21858	he	accompanied to	Strasbourg	52	53	53	55	55	56	0.310142141370835	Much against the will of his father , who on that account broke off contact with him , he took a position little better than that of a servant with Friedrich Georg and Ernst Nikolaus von Kleist , barons from Courland and officer cadets about to begin their military service , whom he accompanied to Strasbourg .	RB IN DT NN IN PRP$ NN , WP IN DT NN VBD RP NN IN PRP , PRP VBD DT NN RB JJR IN DT IN DT NN IN NNP NNP CC NNP NNP NNP NNP , NNS IN NNP CC NN NNS IN TO VB PRP$ JJ NN , WP PRP VBD TO NNP .	B-ADVP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-PP B-NP I-NP B-VP B-PRT B-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-ADVP B-ADJP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP I-NP I-NP O B-NP B-PP B-NP I-NP I-NP I-NP B-NP B-VP I-VP B-NP I-NP I-NP O B-NP B-NP B-VP B-PP B-NP O	he	accompany to	strasbourg
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21859	he	came into	contact	3	4	4	6	6	7	0.21437687988709164	Once there , he came into contact with the actuary Johann Daniel Salzmann , around whom had formed the literary group of the Sociét� � de philosophie et de belles lettres .	RB RB , PRP VBD IN NN IN DT JJ NNP NNP NNP , IN WP VBD VBN DT JJ NN IN DT NNP NNP IN FW FW FW FW NNS .	B-ADVP I-ADVP O B-NP B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-PP B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O	he	come into	contact
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21859	the actuary Johann Daniel Salzmann	had formed the literary group of	the Sociét� �	8	13	16	22	22	25	0.9331796984762036	Once there , he came into contact with the actuary Johann Daniel Salzmann , around whom had formed the literary group of the Sociét� � de philosophie et de belles lettres .	RB RB , PRP VBD IN NN IN DT JJ NNP NNP NNP , IN WP VBD VBN DT JJ NN IN DT NNP NNP IN FW FW FW FW NNS .	B-ADVP I-ADVP O B-NP B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-PP B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O	the actuary johann daniel salzmann	form group of	the sociét� �
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21860	This	was frequented also by	the young Johann Wolfgang von Goethe	0	1	1	5	5	11	0.9821554035437522	This was frequented also by the young Johann Wolfgang von Goethe , who at this time happened to be in Strasbourg , and whose acquaintance Lenz made , as well as that of Johann Heinrich Jung-Stilling .	DT VBD VBN RB IN DT JJ NNP NNP NNP NNP , WP IN DT NN VBD TO VB IN NNP , CC WP$ NN NNP VBD , RB RB IN DT IN NNP NNP NNP .	B-NP B-VP I-VP B-ADVP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-PP B-NP I-NP B-VP I-VP I-VP B-PP B-NP O O B-NP I-NP I-NP B-VP O B-CONJP I-CONJP I-CONJP B-NP I-NP I-NP I-NP I-NP O	this	frequent by	the young johann wolfgang von goethe
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21860	this time	happened to be in	Strasbourg	14	16	16	20	20	21	0.44025036261551637	This was frequented also by the young Johann Wolfgang von Goethe , who at this time happened to be in Strasbourg , and whose acquaintance Lenz made , as well as that of Johann Heinrich Jung-Stilling .	DT VBD VBN RB IN DT JJ NNP NNP NNP NNP , WP IN DT NN VBD TO VB IN NNP , CC WP$ NN NNP VBD , RB RB IN DT IN NNP NNP NNP .	B-NP B-VP I-VP B-ADVP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-PP B-NP I-NP B-VP I-VP I-VP B-PP B-NP O O B-NP I-NP I-NP B-VP O B-CONJP I-CONJP I-CONJP B-NP I-NP I-NP I-NP I-NP O	this time	happen to be in	strasbourg
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21861	Goethe	now became	Lenz 's literary idol	0	1	1	3	3	7	0.9760611575122404	Goethe now became Lenz 's literary idol , and through him he made contact with Johann Gottfried Herder and Johann Kaspar Lavater , with whom he corresponded .	NNP RB VBD NNP POS JJ NN , CC IN PRP PRP VBD NN IN NNP NNP NNP CC NNP NNP NNP , IN WP PRP VBD .	B-NP B-ADVP B-VP B-NP I-NP I-NP I-NP O O B-PP B-NP B-NP B-VP B-NP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O B-PP B-NP B-NP B-VP O	goethe	become	lenz 's literary idol
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21861	he	made contact with	Johann Gottfried Herder	11	12	12	15	15	18	0.5805815143368068	Goethe now became Lenz 's literary idol , and through him he made contact with Johann Gottfried Herder and Johann Kaspar Lavater , with whom he corresponded .	NNP RB VBD NNP POS JJ NN , CC IN PRP PRP VBD NN IN NNP NNP NNP CC NNP NNP NNP , IN WP PRP VBD .	B-NP B-ADVP B-VP B-NP I-NP I-NP I-NP O O B-PP B-NP B-NP B-VP B-NP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O B-PP B-NP B-NP B-VP O	he	make contact with	johann gottfried herder
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21862	Lenz	accompanied	his masters	7	8	8	9	9	11	0.28599995599697037	In the following year , 1772 , Lenz accompanied his masters to the garrisons of Landau , Fort Louis and Wissembourg .	IN DT JJ NN , CD , NNP VBD PRP$ NNS TO DT NNS IN NNP , NNP NNP CC NNP .	B-PP B-NP I-NP I-NP O B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O	lenz	accompany	his masters
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21863	He	also fell in	love	0	1	1	4	4	5	0.2295662353647733	He also fell in love with Friederike Brion , once the beloved of Goethe , but his feelings were not reciprocated .	PRP RB VBD IN NN IN NNP NNP , RB DT NN IN NNP , CC PRP$ NNS VBD RB VBN .	B-NP B-ADVP B-VP B-PP B-NP B-PP B-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP O O B-NP I-NP B-VP I-VP I-VP O	he	fall in	love
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21864	1773 Lenz	returned to	Strasbourg	1	3	3	5	5	6	0.9534795241089559	In 1773 Lenz returned to Strasbourg and resumed his studies .	IN CD NNP VBD TO NNP CC VBD PRP$ NNS .	B-PP B-NP I-NP B-VP B-PP B-NP O B-VP B-NP I-NP O	# lenz	return to	strasbourg
