/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5592	one of the few Test all-rounders	exceeds	his Test bowling average	29	35	43	44	44	48	0.3975842079995713	He has been described by Kevin Pietersen and Daryll Cullinan as the greatest cricketer to play the game , and along with Walter Hammond and Sir Garry Sobers is one of the few Test all-rounders whose Test batting average is over 50 and exceeds his Test bowling average by 20 or more .	PRP VBZ VBN VBN IN NNP NNP CC NNP NNP IN DT JJS NN TO VB DT NN , CC IN IN NNP NNP CC NNP NNP NNP VBZ CD IN DT JJ JJ NNS WP$ JJ VBG NN VBZ IN CD CC VBZ PRP$ JJ NN NN IN CD CC JJR .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP O B-NP I-NP B-PP B-NP I-NP I-NP B-VP I-VP B-NP I-NP O O B-PP B-PP B-NP I-NP O B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	# of the few test all-rounders	exceed	his test bowling average
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5593	Kallis	played cricket for	Wynberg Boys ' High School	0	1	3	6	6	11	0.9907448942252713	Kallis attended and played cricket for Wynberg Boys ' High School .	NNP VBD CC VBD NN IN NNP NNPS POS NNP NNP .	B-NP B-VP O B-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP O	kallis	play cricket for	wynberg boys ' high school
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5594	Wynberg	honoured	Kallis	3	4	4	5	5	6	0.9059944442645228	In 2009 , Wynberg honoured Kallis by naming their main cricket oval after him .	IN CD , NNP VBD NNP IN VBG PRP$ JJ NN NN IN PRP .	B-PP B-NP O B-NP B-VP B-NP B-PP B-VP B-NP I-NP I-NP I-NP B-PP B-NP O	wynberg	honour	kallis
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5595	Kallis	had a brief spell with	Netherfield CC	4	5	5	10	10	12	0.9690812269684309	As a teenager , Kallis had a brief spell with Netherfield CC in England where he established himself in Northern England but he was released .	IN DT NN , NNP VBD DT JJ NN IN NNP NNP IN NNP WRB PRP VBD PRP IN NNP NNP CC PRP VBD VBN .	B-PP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP B-ADVP B-NP B-VP B-NP B-PP B-NP I-NP O B-NP B-VP I-VP O	kallis	have spell with	netherfield cc
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5595	he	established	himself	15	16	16	17	17	18	0.03525020857502361	As a teenager , Kallis had a brief spell with Netherfield CC in England where he established himself in Northern England but he was released .	IN DT NN , NNP VBD DT JJ NN IN NNP NNP IN NNP WRB PRP VBD PRP IN NNP NNP CC PRP VBD VBN .	B-PP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP B-ADVP B-NP B-VP B-NP B-PP B-NP I-NP O B-NP B-VP I-VP O	he	establish	himself
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5596	Kallis	also played for	Old Edwardians	0	1	1	4	4	6	0.9656631702901362	Kallis also played for Old Edwardians for a spell as a teenager , where coaching staff saw potential for him to become a first-class all rounder ; later in his first season he was picked for South Africa U-20 's as a 12th man .	NNP RB VBD IN NNP NNP IN DT NN IN DT NN , WRB VBG NN VBD JJ IN PRP TO VB DT JJ DT NN : RB IN PRP$ JJ NN PRP VBD VBN IN NNP NNP . POS IN DT JJ NN .	B-NP B-ADVP B-VP B-PP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP O B-ADVP B-NP I-NP B-VP B-ADJP B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-ADVP B-PP B-NP I-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP B-NP I-NP B-PP B-NP I-NP I-NP O	kallis	play for	old edwardians
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5596	coaching staff	saw potential for	him	14	16	16	19	19	20	0.08949313014975963	Kallis also played for Old Edwardians for a spell as a teenager , where coaching staff saw potential for him to become a first-class all rounder ; later in his first season he was picked for South Africa U-20 's as a 12th man .	NNP RB VBD IN NNP NNP IN DT NN IN DT NN , WRB VBG NN VBD JJ IN PRP TO VB DT JJ DT NN : RB IN PRP$ JJ NN PRP VBD VBN IN NNP NNP . POS IN DT JJ NN .	B-NP B-ADVP B-VP B-PP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP O B-ADVP B-NP I-NP B-VP B-ADJP B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-ADVP B-PP B-NP I-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP B-NP I-NP B-PP B-NP I-NP I-NP O	coaching staff	see potential for	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5596	he	was picked for	South Africa	32	33	33	36	36	38	0.4659780980581892	Kallis also played for Old Edwardians for a spell as a teenager , where coaching staff saw potential for him to become a first-class all rounder ; later in his first season he was picked for South Africa U-20 's as a 12th man .	NNP RB VBD IN NNP NNP IN DT NN IN DT NN , WRB VBG NN VBD JJ IN PRP TO VB DT JJ DT NN : RB IN PRP$ JJ NN PRP VBD VBN IN NNP NNP . POS IN DT JJ NN .	B-NP B-ADVP B-VP B-PP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP O B-ADVP B-NP I-NP B-VP B-ADJP B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-ADVP B-PP B-NP I-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP B-NP I-NP B-PP B-NP I-NP I-NP O	he	pick for	south africa
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5597	He	made his first-class debut in	1993/94	0	1	1	6	6	7	0.46896384481237974	He made his first-class debut in 1993/94 as an 18-year-old , playing for Western Province .	PRP VBD PRP$ JJ NN IN CD IN DT JJ , VBG IN JJ NNP .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP O B-VP B-PP B-NP I-NP O	he	make debut in	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5598	His first Test appearance	was in	December 1995	0	4	4	6	6	8	0.878318564709197	His first Test appearance was in December 1995 against England at Durban , but he struggled with the bat in his first few matches .	PRP$ JJ JJ NN VBD IN NNP CD IN NNP IN NNP , CC PRP VBD IN DT NN IN PRP$ JJ JJ NNS .	B-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP B-PP B-NP O O B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	his first test appearance	be in	december #
