/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17098	King	was named after	Lindsay Wagner 's character	0	1	1	4	4	8	0.9928027458093507	King was named after Lindsay Wagner 's character , Jaime Sommers , of the 1970s television series The Bionic Woman .	NNP VBD VBN IN NNP NNP POS NN , NNP NNP , IN DT CD NN NN DT NNP NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP O B-PP B-NP I-NP I-NP I-NP B-NP I-NP I-NP O	king	name after	lindsay wagner 's character
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17099	King 's parents	separated in	1994	0	3	3	5	5	6	0.9999999998676956	King 's parents separated in 1994 .	NNP POS NNS VBD IN CD .	B-NP I-NP I-NP B-VP B-PP B-NP O	king 's parents	separate in	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17100	King	had attended	Nancy Bounds ' Studios	0	1	1	3	3	7	0.9789663709059923	King had attended Nancy Bounds ' Studios , a modeling school , and in 1995 dropped out of Westside High School in order to pursue a modeling career in New York .	NNP VBD VBN NNP NNP POS NNP , DT JJ NN , CC IN CD VBD RB IN NNP NNP NNP IN NN TO VB DT JJ NN IN NNP NNP .	B-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP O O B-PP B-NP B-VP B-ADVP B-PP B-NP I-NP I-NP B-SBAR O B-VP I-VP B-NP I-NP I-NP B-PP B-NP I-NP O	king	attend	nancy bounds ' studios
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17100	1995	dropped out of	Westside High School	14	15	15	18	18	21	0.870725870322499	King had attended Nancy Bounds ' Studios , a modeling school , and in 1995 dropped out of Westside High School in order to pursue a modeling career in New York .	NNP VBD VBN NNP NNP POS NNP , DT JJ NN , CC IN CD VBD RB IN NNP NNP NNP IN NN TO VB DT JJ NN IN NNP NNP .	B-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP O O B-PP B-NP B-VP B-ADVP B-PP B-NP I-NP I-NP B-SBAR O B-VP I-VP B-NP I-NP I-NP B-PP B-NP I-NP O	#	drop of	westside high school
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17101	She	later enrolled in	a home-study program	0	1	1	4	4	7	0.024795123751781663	She later enrolled in a home-study program run by the University of Nebraska .	PRP RB VBD IN DT NN NN VBN IN DT NNP IN NNP .	B-NP B-ADVP B-VP B-PP B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP O	she	enrol in	a home-study program
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17102	She	was discovered in	November 1993	0	1	1	4	4	6	0.848087731713081	She was discovered in November 1993 , at age fourteen , while attending Nancy Bounds ' Studios .	PRP VBD VBN IN NNP CD , IN NN CD , IN VBG NNP NNP POS NNP .	B-NP B-VP I-VP B-PP B-NP I-NP O B-PP B-NP I-NP O B-SBAR B-VP B-NP I-NP I-NP I-NP O	she	discover in	november #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17103	King	was invited to	New York City	14	15	15	18	18	21	0.8093331007675829	After being spotted at her graduation fashion show by model agent Michael Flutie , King was invited to New York City to begin modeling professionally .	IN VBG VBD IN PRP$ NN NN NN IN NN NN NNP NNP , NNP VBD VBN TO NNP NNP NNP TO VB VBG RB .	B-PP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP B-VP I-VP I-VP B-ADVP O	king	invite to	new york city
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17104	She	joined	Company Management	0	1	1	2	2	4	0.758984980746731	She joined Company Management , which already represented Jaime Rishar , a more established model .	PRP VBD NNP NNP , WDT RB VBD NNP NNP , DT RBR JJ NN .	B-NP B-VP B-NP I-NP O B-NP B-ADVP B-VP B-NP I-NP O B-NP I-NP I-NP I-NP O	she	join	company management
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17104	Company Management	already represented	Jaime Rishar	2	4	6	8	8	10	0.8556527371672199	She joined Company Management , which already represented Jaime Rishar , a more established model .	PRP VBD NNP NNP , WDT RB VBD NNP NNP , DT RBR JJ NN .	B-NP B-VP B-NP I-NP O B-NP B-ADVP B-VP B-NP I-NP O B-NP I-NP I-NP I-NP O	company management	represent	jaime rishar
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17105	King	opted to use	her childhood nickname	4	5	5	8	8	11	0.6190559426182572	To avoid confusion , King opted to use her childhood nickname , James , for the duration of her modeling career and later , at the beginning of her film career .	TO VB NN , NNP VBD TO VB PRP$ NN NN , NNP , IN DT NN IN PRP$ JJ NN CC RB , IN DT NN IN PRP$ NN NN .	B-VP I-VP B-NP O B-NP B-VP I-VP I-VP B-NP I-NP I-NP O B-NP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-ADVP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	king	opt to use	her childhood nickname
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17106	she	traveled to	New York	3	4	4	6	6	8	0.31868660518595565	In March 1994 she traveled to New York for test pictures and received enthusiastic responses , however , she did not return to New York until July 1994 , after gaining a successful advertisement for Abercrombie & Fitch .	IN NNP CD PRP VBD TO NNP NNP IN NN NNS CC VBD JJ NNS , RB , PRP VBD RB VB TO NNP NNP IN NNP CD , IN VBG DT JJ NN IN NNP CC NNP .	B-PP B-NP I-NP B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-VP B-NP I-NP O B-ADVP O B-NP B-VP I-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-PP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	she	travel to	new york
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17106	New York	received	enthusiastic responses	6	8	12	13	13	15	0.8993111882191417	In March 1994 she traveled to New York for test pictures and received enthusiastic responses , however , she did not return to New York until July 1994 , after gaining a successful advertisement for Abercrombie & Fitch .	IN NNP CD PRP VBD TO NNP NNP IN NN NNS CC VBD JJ NNS , RB , PRP VBD RB VB TO NNP NNP IN NNP CD , IN VBG DT JJ NN IN NNP CC NNP .	B-PP B-NP I-NP B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-VP B-NP I-NP O B-ADVP O B-NP B-VP I-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-PP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	new york	receive	enthusiastic responses
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jaime King.txt	17106	she	did not return to	New York	18	19	19	23	23	25	0.1589119188068759	In March 1994 she traveled to New York for test pictures and received enthusiastic responses , however , she did not return to New York until July 1994 , after gaining a successful advertisement for Abercrombie & Fitch .	IN NNP CD PRP VBD TO NNP NNP IN NN NNS CC VBD JJ NNS , RB , PRP VBD RB VB TO NNP NNP IN NNP CD , IN VBG DT JJ NN IN NNP CC NNP .	B-PP B-NP I-NP B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-VP B-NP I-NP O B-ADVP O B-NP B-VP I-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP O B-PP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	she	return to	new york
